id,season,city,date,match_type,venue,team1,team2,winner,result,result_margin,target_runs,target_overs,super_over
335982,2007/08,Bangalore,18-04-2008,League,M Chinnaswamy Stadium,RCB,KKR,KKR,runs,140,223,20,N
335983,2007/08,Chandigarh,19-04-2008,League,"Punjab Cricket Association Stadium, Mohali",PBKS,CSK,CSK,runs,33,241,20,N
335984,2007/08,Delhi,19-04-2008,League,Feroz Shah Kotla,DC,RR,DC,wickets,9,130,20,N
335985,2007/08,Mumbai,20-04-2008,League,Wankhede Stadium,MI,RCB,RCB,wickets,5,166,20,N
335986,2007/08,Kolkata,20-04-2008,League,Eden Gardens,KKR,SRH,KKR,wickets,5,111,20,N
335987,2007/08,Jaipur,21-04-2008,League,Sawai Mansingh Stadium,RR,PBKS,RR,wickets,6,167,20,N
335988,2007/08,Hyderabad,22-04-2008,League,"Rajiv Gandhi International Stadium, Uppal",SRH,DC,DC,wickets,9,143,20,N
335989,2007/08,Chennai,23-04-2008,League,"MA Chidambaram Stadium, Chepauk",CSK,MI,CSK,runs,6,209,20,N
335990,2007/08,Hyderabad,24-04-2008,League,"Rajiv Gandhi International Stadium, Uppal",SRH,RR,RR,wickets,3,215,20,N
335991,2007/08,Chandigarh,25-04-2008,League,"Punjab Cricket Association Stadium, Mohali",PBKS,MI,PBKS,runs,66,183,20,N
335992,2007/08,Bangalore,26-04-2008,League,M Chinnaswamy Stadium,RCB,RR,RR,wickets,7,136,20,N
335993,2007/08,Chennai,26-04-2008,League,"MA Chidambaram Stadium, Chepauk",CSK,KKR,CSK,wickets,9,148,20,N
335994,2007/08,Mumbai,27-04-2008,League,Dr DY Patil Sports Academy,MI,SRH,SRH,wickets,10,155,20,N
335995,2007/08,Chandigarh,27-04-2008,League,"Punjab Cricket Association Stadium, Mohali",PBKS,DC,PBKS,wickets,4,159,20,N
335996,2007/08,Bangalore,28-04-2008,League,M Chinnaswamy Stadium,RCB,CSK,CSK,runs,13,179,20,N
335997,2007/08,Kolkata,29-04-2008,League,Eden Gardens,KKR,MI,MI,wickets,7,138,20,N
335998,2007/08,Delhi,30-04-2008,League,Feroz Shah Kotla,DC,RCB,DC,runs,10,192,20,N
335999,2007/08,Hyderabad,01-05-2008,League,"Rajiv Gandhi International Stadium, Uppal",SRH,PBKS,PBKS,wickets,7,165,20,N
336000,2007/08,Jaipur,01-05-2008,League,Sawai Mansingh Stadium,RR,KKR,RR,runs,45,197,20,N
336001,2007/08,Chennai,02-05-2008,League,"MA Chidambaram Stadium, Chepauk",CSK,DC,DC,wickets,8,170,20,N
336003,2007/08,Chandigarh,03-05-2008,League,"Punjab Cricket Association Stadium, Mohali",PBKS,KKR,PBKS,runs,9,179,20,N
336034,2007/08,Bangalore,03-05-2008,League,M Chinnaswamy Stadium,RCB,SRH,RCB,runs,3,157,20,N
336004,2007/08,Mumbai,04-05-2008,League,Dr DY Patil Sports Academy,MI,DC,MI,runs,29,163,20,N
336005,2007/08,Jaipur,04-05-2008,League,Sawai Mansingh Stadium,RR,CSK,RR,wickets,8,110,20,N
336006,2007/08,Bangalore,05-05-2008,League,M Chinnaswamy Stadium,RCB,PBKS,PBKS,wickets,6,127,20,N
336007,2007/08,Chennai,06-05-2008,League,"MA Chidambaram Stadium, Chepauk",CSK,SRH,SRH,wickets,7,145,20,N
336008,2007/08,Mumbai,07-05-2008,League,Dr DY Patil Sports Academy,MI,RR,MI,wickets,7,104,20,N
336009,2007/08,Delhi,08-05-2008,League,Feroz Shah Kotla,DC,CSK,CSK,wickets,4,188,20,N
336010,2007/08,Kolkata,08-05-2008,League,Eden Gardens,KKR,RCB,KKR,runs,5,130,16,N
336011,2007/08,Jaipur,09-05-2008,League,Sawai Mansingh Stadium,RR,SRH,RR,wickets,8,141,20,N
336013,2007/08,Chennai,10-05-2008,League,"MA Chidambaram Stadium, Chepauk",CSK,PBKS,CSK,runs,18,182,20,N
336014,2007/08,Hyderabad,11-05-2008,League,"Rajiv Gandhi International Stadium, Uppal",SRH,KKR,KKR,runs,23,205,20,N
336015,2007/08,Jaipur,11-05-2008,League,Sawai Mansingh Stadium,RR,DC,RR,wickets,3,157,20,N
336016,2007/08,Chandigarh,12-05-2008,League,"Punjab Cricket Association Stadium, Mohali",PBKS,RCB,PBKS,wickets,9,144,20,N
336017,2007/08,Kolkata,13-05-2008,League,Eden Gardens,KKR,DC,KKR,runs,23,134,20,N
336018,2007/08,Mumbai,14-05-2008,League,Wankhede Stadium,MI,CSK,MI,wickets,9,157,20,N
336020,2007/08,Delhi,15-05-2008,League,Feroz Shah Kotla,DC,SRH,DC,runs,12,195,20,N
